economy,series,YR2016,YR2017,YR2018,YR2019,YR2020
ABW,AG.LND.IRIG.AG.ZS,,,,,
ABW,EG.ELC.ACCS.ZS,100.0,100.0,100.0,100.0,100.0
ABW,NV.AGR.TOTL.ZS,,,,,
ABW,SP.URB.TOTL,45293.0,45614.0,45949.0,46294.0,46654.0
ABW,SP.URB.TOTL.IN.ZS,43.192,43.293,43.411,43.546,43.697
AFW,AG.LND.IRIG.AG.ZS,,,,,
AFW,EG.ELC.ACCS.ZS,50.9534866843105,48.8611912179155,51.2597116422012,51.2901929896648,52.1116010037919
AFW,NV.AGR.TOTL.ZS,21.0062180456305,20.8052892384143,20.9314061139102,21.2571607497527,23.0048308539043
AFW,SP.URB.TOTL,187305752.0,195016097.0,202961117.0,211133789.0,219531155.0
AFW,SP.URB.TOTL.IN.ZS,45.4018091116082,46.0193335426773,46.6331382779992,47.2428528783001,47.8486254352506
ASM,AG.LND.IRIG.AG.ZS,,,,,
ASM,EG.ELC.ACCS.ZS,,,,,
ASM,NV.AGR.TOTL.ZS,,,,,
ASM,SP.URB.TOTL,48603.0,48481.0,48336.0,48203.0,48106.0
ASM,SP.URB.TOTL.IN.ZS,87.198,87.17,87.153,87.147,87.153
BGD,AG.LND.IRIG.AG.ZS,59.7114923413757,60.158936274195,,,
BGD,EG.ELC.ACCS.ZS,75.9199981689453,88.0,91.8000030517578,92.1999969482422,96.1999969482422
BGD,NV.AGR.TOTL.ZS,14.0455462197579,13.4134659962126,13.0743126586412,12.6802755700275,12.91707789825
BGD,SP.URB.TOTL,55423124.0,57259998.0,59115518.0,60987421.0,62873466.0
BGD,SP.URB.TOTL.IN.ZS,35.083,35.858,36.632,37.405,38.177
BLR,AG.LND.IRIG.AG.ZS,0.355104480410656,0.356722392276901,0.358452620371466,,
BLR,EG.ELC.ACCS.ZS,100.0,100.0,100.0,100.0,100.0
BLR,NV.AGR.TOTL.ZS,6.89528062433517,7.56580253848292,6.59010772590188,6.79466882799274,6.82931308926166
BLR,SP.URB.TOTL,7354014.0,7390686.0,7418413.0,7445754.0,7455467.0
BLR,SP.URB.TOTL.IN.ZS,77.661,78.134,78.595,79.044,79.483
CEB,AG.LND.IRIG.AG.ZS,,,,,
CEB,EG.ELC.ACCS.ZS,99.8278344126722,100.0,100.0,100.0,99.9796400333302
CEB,NV.AGR.TOTL.ZS,2.89061057390193,3.03399829184757,2.77434964664846,2.68789056375599,2.75565208618651
CEB,SP.URB.TOTL,64046460.0,63954111.0,63915976.0,63935712.0,63921152.0
CEB,SP.URB.TOTL.IN.ZS,62.1844843229932,62.2484547292635,62.3336666035846,62.4381364361765,62.5620844891198
CPV,AG.LND.IRIG.AG.ZS,,,,,
CPV,EG.ELC.ACCS.ZS,87.5449295043945,88.6909637451172,90.411750793457,91.4000015258789,94.1617431640625
CPV,NV.AGR.TOTL.ZS,7.9957410958418,6.73868990472169,5.2919842946009,4.63290603790788,4.86405018483154
CPV,SP.URB.TOTL,344094.0,350777.0,357427.0,364030.0,370577.0
CPV,SP.URB.TOTL.IN.ZS,64.784,65.261,65.732,66.195,66.652
DNK,AG.LND.IRIG.AG.ZS,8.22659704528056,8.70295889201072,,,
DNK,EG.ELC.ACCS.ZS,100.0,100.0,100.0,100.0,100.0
DNK,NV.AGR.TOTL.ZS,0.961160974086306,1.30480035996571,1.0265693512957,1.22202810225001,1.30632929331133
DNK,SP.URB.TOTL,5020143.0,5059173.0,5091100.0,5116342.0,5138400.0
DNK,SP.URB.TOTL.IN.ZS,87.642,87.757,87.874,87.994,88.116
DOM,AG.LND.IRIG.AG.ZS,,,12.2716961712639,,
DOM,EG.ELC.ACCS.ZS,98.9000015258789,100.0,98.9000015258789,99.0,100.0
DOM,NV.AGR.TOTL.ZS,5.50727322415818,5.34266664299661,5.14778281886673,5.22728892621582,6.04147752532252
DOM,SP.URB.TOTL,8259547.0,8439610.0,8615853.0,8787474.0,8953860.0
DOM,SP.URB.TOTL.IN.ZS,79.436,80.277,81.074,81.828,82.54
HKG,AG.LND.IRIG.AG.ZS,,,,,
HKG,EG.ELC.ACCS.ZS,100.0,100.0,100.0,100.0,100.0
HKG,NV.AGR.TOTL.ZS,0.0762114937211848,0.0652782749689402,0.0621490667587498,0.0723134685153416,0.0984922649352659
HKG,SP.URB.TOTL,7336600.0,7391700.0,7451000.0,7507400.0,7481800.0
HKG,SP.URB.TOTL.IN.ZS,100.0,100.0,100.0,100.0,100.0
